iteration,latency_ms
1,40.11061298660934
2,40.2101359795779
3,40.222231997177005
4,40.33365799114108
5,40.29954597353935
6,40.30232998775318
7,40.55299103492871
8,40.518078953027725
9,40.56598397437483
10,40.57392000686377
11,40.282968955580145
12,40.16578302253038
13,40.422620018944144
14,40.2409519883804
15,40.51951796282083
16,39.24953698879108
17,36.54646698851138
18,36.4595860010013
19,36.174937966279685
20,36.16463497746736
21,36.502466013189405
22,36.803273018449545
23,36.575715988874435
24,37.53567399689928
25,36.181882955133915
26,36.18629899574444
27,36.18988301604986
28,36.57648299122229
29,36.602372012566775
30,36.43014497356489
31,36.167162004858255
32,36.4663060172461
33,36.09093697741628
34,36.07816802104935
35,36.1361859831959
36,36.41673701349646
37,36.0892079770565
38,36.16975498152897
39,36.22137202182785
40,36.54073900543153
41,36.58970003016293
42,36.512001999653876
43,36.074711999390274
44,36.51411400642246
45,36.093336006160825
46,36.133882007561624
47,36.12383303698152
48,36.38985496945679
49,36.119640979450196
50,36.171865998767316
51,37.209842004813254
52,36.306685011368245
53,36.68400598689914
54,35.66497500287369
55,36.28870099782944
56,36.331230017822236
57,36.51116898981854
58,36.38499102089554
59,36.0847600386478
60,36.47580899996683
61,36.15919401636347
62,36.48531303042546
63,36.11663304036483
64,36.206202988978475
65,36.138746014330536
66,36.18754603667185
67,36.17999498965219
68,36.25445900252089
69,36.15733701735735
70,36.272507975809276
71,36.1275440081954
72,36.111416993662715
73,36.420798976905644
74,36.12671297742054
75,36.1507449997589
76,36.426623002626
77,36.100215977057815
78,36.50348901282996
79,36.95121099008247
80,36.0668069915846
81,36.31138801574707
82,36.23004298424348
83,36.18405800079927
84,36.252412013709545
85,36.129815969616175
86,36.140664014965296
87,36.392478039488196
88,36.15916200214997
89,36.116024013608694
90,36.51401697425172
91,36.12095199059695
92,36.10949596622959
93,36.134553025476635
94,36.47817700402811
95,36.603779008146375
96,36.43247904255986
97,36.18578496389091
98,36.15954500855878
99,36.2374980468303
100,36.50255996035412
